Prefab	Base	ExactItemId	ExactItemName	ExactIconSlot	SiblingItemIds	SiblingItemNames	FullIconString	Orphan
background_breakable_wood_230	background_breakable_wood_230	900	Item_Background_Breakable_Wood_230	10621			ItemIcon_Prefab_Background_Breakable_Wood_230	no
background_breakable_wood_280	background_breakable_wood_280	862	Item_Background_Breakable_Wood_280	10583			ItemIcon_Prefab_Background_Breakable_Wood_280	no
background_breakable_wood_281	background_breakable_wood_281	867	Item_Background_Breakable_Wood_281	10588			ItemIcon_Prefab_Background_Breakable_Wood_281	no
background_breakable_wood_285	background_breakable_wood_285	872	Item_Background_Breakable_Wood_285	10593			ItemIcon_Prefab_Background_Breakable_Wood_285	no
background_breakable_wood_290	background_breakable_wood_290	875	Item_Background_Breakable_Wood_290	10596			ItemIcon_Prefab_Background_Breakable_Wood_290	no
background_breakable_wood_293	background_breakable_wood_293	876	Item_Background_Breakable_Wood_293	10597			ItemIcon_Prefab_Background_Breakable_Wood_293	no
background_breakable_wood_295	background_breakable_wood_295	877	Item_Background_Breakable_Wood_295	10598			ItemIcon_Prefab_Background_Breakable_Wood_295	no
background_breakable_wood_297	background_breakable_wood_297	885	Item_Background_Breakable_Wood_297	10606			ItemIcon_Prefab_Background_Breakable_Wood_297	no
background_breakable_wood_304	background_breakable_wood_304	902	Item_Background_Breakable_Wood_304	10623			ItemIcon_Prefab_Background_Breakable_Wood_304	no
background_breakable_wood_308	background_breakable_wood_308	901	Item_Background_Breakable_Wood_308	10622			ItemIcon_Prefab_Background_Breakable_Wood_308	no
background_breakable_wood_309	background_breakable_wood_309	903	Item_Background_Breakable_Wood_309	10624			ItemIcon_Prefab_Background_Breakable_Wood_309	no
background_breakable_wood_363	background_breakable_wood_363	904	Item_Background_Breakable_Wood_363	10625			ItemIcon_Prefab_Background_Breakable_Wood_363	no
background_request	background_request							yes
background_response	background_response							yes
bd_pvw_00_head_00_0001	bd_pvw_00_head_00_0001							yes
cacao_01	cacao_01	1178	Cacao	11033			ItemIcon_prefab_Cacao_01	no
cd_acidspider	cd_acidspider							yes
cd_additional_for_dock	cd_additional_for_dock							yes
cd_airplane	cd_airplane							yes
cd_airship	cd_airship							yes
cd_bag_acc	cd_bag_acc							yes
cd_bag_belt	cd_bag_belt							yes
cd_bag_belt_for_dock	cd_bag_belt_for_dock							yes
cd_bag_lantern	cd_bag_lantern							yes
cd_bag_rack	cd_bag_rack							yes
cd_bag_rocket	cd_bag_rocket							yes
cd_bag_small	cd_bag_small							yes
cd_boss_reward_automatedincome	cd_boss_reward_automatedincome	3198	Boss_Reward_AutomatedIncome	12291			itemicon_cd_boss_reward_automatedincome	no
cd_boss_reward_bigmoney	cd_boss_reward_bigmoney	3186	Boss_Reward_BigMoney	12278			itemicon_cd_boss_reward_bigmoney	no
cd_boss_reward_bountyreduction	cd_boss_reward_bountyreduction	3213	Boss_Reward_BountyReduction	12302			itemicon_cd_boss_reward_bountyreduction	no
cd_boss_reward_catfishmap	cd_boss_reward_catfishmap	3194	Boss_Reward_CatFishMap	12287			itemicon_cd_boss_reward_catfishmap	no
cd_boss_reward_efficiency	cd_boss_reward_efficiency	3218	Boss_Reward_Efficiency_Charm	12305			itemicon_cd_boss_reward_efficiency	no
cd_boss_reward_graymanes	cd_boss_reward_graymanes	3184	Boss_Reward_Graymanes	12276			itemicon_cd_boss_reward_graymanes	no
cd_boss_reward_knowledgeoverview	cd_boss_reward_knowledgeoverview	3201	Boss_Reward_KnowledgeOverview	12294			itemicon_cd_boss_reward_knowledgeoverview	no
cd_boss_reward_kweidencontribution	cd_boss_reward_kweidencontribution	3195	Boss_Reward_KweidenContribution	12288			itemicon_cd_boss_reward_kweidencontribution	no
cd_boss_reward_kweidennode	cd_boss_reward_kweidennode	3189	Boss_Reward_KweidenNode	12281			itemicon_cd_boss_reward_kweidennode	no
cd_boss_reward_largestone	cd_boss_reward_largestone	3188	Boss_Reward_LargeStone	12280			itemicon_cd_boss_reward_largestone	no
cd_boss_reward_largewood	cd_boss_reward_largewood	3187	Boss_Reward_LargeWood	12279			itemicon_cd_boss_reward_largewood	no
cd_boss_reward_masterthief	cd_boss_reward_masterthief	3212	Boss_Reward_MasterThief	12301			itemicon_cd_boss_reward_masterthief	no
cd_boss_reward_merchantking	cd_boss_reward_merchantking	3215	Boss_Reward_MerchantKing_GoldleafGuildhouse	12304	3216,3217	Boss_Reward_MerchantKing_SilvermoonTroll,Boss_Reward_MerchantKing_SaltroadTradePost	itemicon_cd_boss_reward_merchantking	no
cd_boss_reward_miraculousrecovery	cd_boss_reward_miraculousrecovery	3197	Boss_Reward_MiraculousRecovery	12290			itemicon_cd_boss_reward_miraculousrecovery	no
cd_boss_reward_npc01intimacy	cd_boss_reward_npc01intimacy	3196	Boss_Reward_Npc01Intimacy	12289			itemicon_cd_boss_reward_npc01intimacy	no
cd_boss_reward_quicklearner	cd_boss_reward_quicklearner	3203	Boss_Reward_QuickLearner_Charm	12296			itemicon_cd_boss_reward_quicklearner	no
cd_boss_reward_returncamp	cd_boss_reward_returncamp	3219	Boss_Reward_ReturnCamp	12307			itemicon_cd_boss_reward_returncamp	no
cd_boss_reward_statscrime	cd_boss_reward_statscrime	3211	Boss_Reward_StatsCrime	12300			itemicon_cd_boss_reward_statscrime	no
cd_boss_reward_statsmp	cd_boss_reward_statsmp	3200	Boss_Reward_StatsMp	12293			itemicon_cd_boss_reward_statsmp	no
cd_boss_reward_statsstamina	cd_boss_reward_statsstamina	3199	Boss_Reward_StatsStamina	12292			itemicon_cd_boss_reward_statsstamina	no
cd_boss_reward_supercarrot	cd_boss_reward_supercarrot	3191	Boss_Reward_Supercarrot	12282			itemicon_cd_boss_reward_supercarrot	no
cd_boss_reward_superskill	cd_boss_reward_superskill	3214	Boss_Reward_SuperSkill	12303			itemicon_cd_boss_reward_superskill	no
cd_boss_reward_survivors	cd_boss_reward_survivors	3185	Boss_Reward_Survivors	12277			itemicon_cd_boss_reward_survivors	no
cd_boss_reward_tracker	cd_boss_reward_tracker	3202	Boss_Reward_Tracker	12295			itemicon_cd_boss_reward_tracker	no
cd_boss_reward_treasuremap	cd_boss_reward_treasuremap	3204	Puzzle_Reward_TreasureMap_Her_First	12297	3205,3206,3207,3208,3209	Puzzle_Reward_TreasureMap_Her_Second,Puzzle_Reward_TreasureMap_Kwe,Puzzle_Reward_TreasureMap_Dem_First,Puzzle_Reward_TreasureMap_Dem_Second,Puzzle_Reward_TreasureMap_Del	itemicon_cd_boss_reward_treasuremap	no
cd_boss_seraphim	cd_boss_seraphim							yes
cd_boss_seraphim_eye	cd_boss_seraphim_eye							yes
cd_boss_seraphim_wing	cd_boss_seraphim_wing							yes
cd_cert_releasesteam_x64_cd_alpha_2026_06_18_16_22_13	cd_cert_releasesteam_x64_cd_alpha_2026							yes
cd_challengeimage__contents_minigame_armwrest_mission	cd_challengeimage__contents_minigame_armwrest_mission							yes
cd_challengeimage_category_battle	cd_challengeimage_category_battle							yes
cd_challengeimage_category_beacon	cd_challengeimage_category_beacon							yes
cd_challengeimage_category_journey	cd_challengeimage_category_journey							yes
cd_challengeimage_category_mastery	cd_challengeimage_category_mastery							yes
cd_challengeimage_category_minigame	cd_challengeimage_category_minigame							yes
cd_challengeimage_category_standstone	cd_challengeimage_category_standstone							yes
cd_challengeimage_challenge_abyss_0079_goldstar_armor	cd_challengeimage_challenge_abyss_0079							yes
cd_challengeimage_challenge_anamorphic	cd_challengeimage_challenge_anamorphic							yes
cd_challengeimage_challenge_anamorphic_adventurer	cd_challengeimage_challenge_anamorphic_adventurer							yes
cd_challengeimage_challenge_anamorphic_black_dragon	cd_challengeimage_challenge_anamorphic_black_dragon							yes
cd_challengeimage_challenge_anamorphic_black_giant	cd_challengeimage_challenge_anamorphic_black_giant							yes
cd_challengeimage_challenge_anamorphic_black_key	cd_challengeimage_challenge_anamorphic_black_key							yes
cd_challengeimage_challenge_anamorphic_boat	cd_challengeimage_challenge_anamorphic_boat							yes
