ItemID	Slot	Variant	PlayerSafe	Name
0x1252	Helm	yes	no	Aant_PlateArmor_Helm
0x88C	Other	no	no	Abacus
0x1494	Helm	yes	yes	Abidon_Fabric_Helm
0x14FD	Other	no	yes	Abidon_Fabric_Helm_T5_QA
0x8DE	Other	no	no	Abyss_Artifact
0xB37	Other	no	no	Abyss_InfiniteStat_Hp30
0xB36	Other	no	no	Abyss_InfiniteStat_Mp2
0xB35	Other	no	no	Abyss_InfiniteStat_Sp3
0x127C	Boots	no	yes	Abyss_Surreal_Human_Fabric_Boots
0x129F	Chest	no	yes	Abyss_Surreal_Human_Leather_Armor
0x12DF	Helm	no	yes	Abyss_Surreal_Human_Leather_Helm
0x12A4	Chest	no	yes	Abyss_Surreal_Wolf_Leather_Armor
0x12D3	Cloak	no	yes	Abyss_Surreal_Wolf_Leather_Cloak
0x12DB	Gloves	no	yes	Abyss_Surreal_Wolf_Leather_Gloves
0x12DE	Helm	no	yes	Abyss_Surreal_Wolf_Leather_Helm
0xBC7	Other	no	yes	Abyss_Surreal_Wolf_Necklace
0x680	Other	no	no	AbyssGear_Epistle
0x15DB	Other	no	no	AbyssReward_Desert_OneHandMace
0x16DD	Other	no	no	AbyssReward_Dragon_TwoHandGiantHammer
0x16AE	Other	no	no	AbyssReward_Drake_Metal_OneHandShield
0xBB2	Other	no	yes	AbyssReward_EastWitch_Ring
0x166F	Other	no	yes	AbyssReward_HolyEcho_OneHandBow
0x1659	Other	no	no	AbyssReward_Kutum_TowerShield
0x1685	Other	no	no	AbyssReward_MarniMusket
0x1640	Other	no	no	AbyssReward_Mysterm_OneHandSword
0x1646	Other	no	no	AbyssReward_Peltree_OneHandSword
0x163C	Other	no	yes	AbyssReward_Reeddevil_OneHandSword
0x1763	Other	no	no	AbyssReward_Skull_Knight_TwoHandSword
0x16FC	Other	no	no	AbyssReward_Titan_TwoHandSpear
0xBB1	Other	no	yes	AbyssReward_WhiteHorn_Ring
0x5F0	Other	no	yes	AbyssRuinsCreatureCore
0xAF7	Other	no	yes	AbyssStone_Seed
0xF76	Gloves	yes	yes	Acembel_Leather_Gloves
0x341	Other	no	no	Acid_Spider_Poison
0x3B2	Other	no	no	Acorn
0x1615	Other	no	no	Acquirs_Wood_OneHandShield
0x1058	Boots	yes	no	Adeion_Leather_Boots
0xE51	Gloves	yes	yes	Adeion_Leather_Gloves
0x1688	Other	no	no	Aequor_OneHandMusket
0x13F5	Other	no	yes	Aggro_Backpack
0xC21	Chest	yes	yes	Ahns_Fabric_Armor
0xD31	Chest	yes	yes	Ahntutan_Fabric_Armor
0x16B3	Other	no	yes	Air_OneHandCannon
0xFC3	Chest	yes	yes	Ajure_Leather_Armor
0xF32	Boots	yes	yes	Akesti_Leather_Boots
0xCA4	Chest	yes	yes	Aklas_Fabric_Armor
0x11BC	Chest	yes	yes	Albert_PlateArmor_Armor
0x5FE	Other	no	no	Alchemist_Key
0x5FD	Other	no	no	Alchemist_Key_Proto
0x1000	Chest	yes	yes	Ald_Leather_Armor
0xF6E	Gloves	yes	yes	Aldwin_Leather_Gloves
0x1696	Other	no	no	Alida_OneHandShotgun
0x168E	Other	no	no	Alida_Restraint_OneHandPistol
0xEF6	Boots	yes	yes	Allbit_Leather_Boots
0xC48	Chest	yes	yes	Alpein_Fabric_Armor
0xC41	Chest	yes	yes	Alsace_Fabric_Armor
0x143	Other	no	yes	Alustin_Journal_Book_I
0x144	Other	no	yes	Alustin_Journal_Book_II
0x145	Other	no	yes	Alustin_Journal_Book_III
0x146	Other	no	yes	Alustin_Journal_Book_IV
0x147	Other	no	yes	Alustin_Journal_Book_V
0x148	Other	no	yes	Alustin_Journal_Book_VI
0x38F	Other	no	no	Ama
0xC08	Chest	yes	yes	Amanas_ChainMail_Armor
0x11E4	Chest	yes	yes	Amanta_PlateArmor_Armor
0xC07	Chest	yes	yes	Amantia_ChainMail_Armor
0xD1E	Chest	yes	yes	Amundule_Fabric_Armor
0x15A	Other	no	yes	Anamorphic_Book
0x13FC	Helm	no	yes	Anamorphic_PlateArmor_Helm
0xD0E	Chest	yes	yes	Ancient_Fabric_Armor
0xD0F	Chest	yes	yes	Ancient_Fabric_Armor_I
0xD10	Chest	yes	yes	Ancient_Fabric_Armor_II
0xBDA	Other	no	yes	Ancient_People_Earring
0xBC3	Other	no	yes	Ancient_People_Necklace
0xBB6	Other	no	yes	Ancient_People_Ring
0x1609	Other	no	no	Ancient_Shield
0xE3E	Boots	yes	no	Andaran_Leather_Boots
0xC11	Chest	yes	yes	Andre_ChainMail_Armor
0xF41	Gloves	yes	yes	Andria_Leather_Gloves
0x159E	Other	yes	yes	Angry_Wave_Ring_Drill
0x369	Other	no	no	Animal_Bone
0xC85	Chest	yes	yes	Ankara_Fabric_Armor
0xCCA	Chest	yes	yes	Ankrian_Fabric_Armor
0xECC	Chest	yes	yes	Anruditz_Leather_Armor
0xE3F	Boots	yes	yes	Anruditz_Leather_Boots
0x1760	Other	no	no	Anti_Caliburn_Picket
0x11E2	Chest	yes	yes	Anti_Demeniss_Crail_PlateArmor_Armor
0x11E1	Chest	yes	yes	Anti_Demeniss_Mueo_PlateArmor_Armor
0xE0E	Chest	yes	yes	Antika_Leather_Armor
0x10ED	Chest	yes	yes	Antony_PlateArmor_Armor
0x122D	Helm	yes	yes	Antony_PlateArmor_Helm
0x11A3	Helm	yes	yes	Antra_PlateArmor_Helm
0xC06	Chest	yes	yes	Antuka_ChainMail_Armor
0x1166	Chest	yes	yes	Antum_PlateArmor_Armor
0xBDB	Other	no	yes	Antumbra_DarkDeacon_Earring
0xBBF	Other	no	yes	Antumbra_DarkDeacon_Necklace
0xBB5	Other	no	yes	Antumbra_DarkDeacon_Ring
0xD7F	Chest	yes	no	Antumbra_Fabric_Armor
0xBB3	Other	no	yes	Antumbra_King_Ring
0x1078	Boots	yes	no	Antumbra_Leather_Boots
0x12CE	Gloves	no	yes	Antumbra_Leather_Gloves
0x10CA	Gloves	yes	no	Antumbra_Leather_Gloves_I
0x654	Other	no	no	Anvil_Fort_Secret_Document
0x15F7	Other	no	no	Apenzel_OneHandRapier
0x1428	Other	no	yes	Apothecary_BackPack_I
0x1429	Other	no	yes	Apothecary_BackPack_II
0x386	Other	no	no	Apple
0x141D	Other	no	yes	Apple_BackPack
0xAF4	Other	no	yes	AppleTree_Seed
0xC38	Chest	yes	yes	Arandhal_Fabric_Armor
0x11E6	Chest	yes	yes	Arcalu_PlateArmor_Armor
0x15EC	Other	no	no	Archaia_OneHandMace
0x1087	Gloves	yes	yes	Archen_Leather_Gloves
0xCA8	Chest	yes	yes	Archran_Fabric_Armor
0xC0F	Chest	yes	yes	Archria_ChainMail_Armor
0xCC1	Chest	yes	yes	Archria_Fabric_Armor
0x1644	Other	no	no	Archria_OneHandSword
0x1648	Other	no	no	Archrika_OneHandSword
0x15E6	Other	no	no	Archsyan_OneHandMace
0x10C2	Gloves	yes	yes	Arcria_Leather_Gloves
0x10A5	Gloves	yes	yes	Arcti_Leather_Gloves
0xFDA	Chest	yes	yes	Arctotus_Leather_Armor
0xE0D	Chest	yes	yes	Ardeah_Leather_Armor
0xE84	Chest	yes	yes	Ardoratte_Leather_Armor_I
0xF2D	Boots	yes	yes	Arendyer_Leather_Boots
0xCEF	Helm	yes	yes	Argatah_Fabric_Helm
0xF93	Helm	yes	yes	Argatah_Leather_Helm
0x1689	Other	no	no	Argatah_OneHandMusket
0x118E	Gloves	yes	yes	Argatah_PlateArmor_Gloves
0x15E8	Other	no	no	Argen_OneHandMace
0xC33	Chest	yes	yes	Arghai_Fabric_Armor
0xEE2	Boots	yes	yes	Arghai_Leather_Boots
0x13B7	Helm	no	yes	Arghai_PlateArmor_Helm
0x170A	Other	no	no	Argtisan_TwoHandSpear
0x15FB	Other	no	no	Ariete_OneHandRapier
0x1278	Chest	no	yes	Arkhan_Fabric_Armor
0x11B2	Chest	yes	yes	Arkhan_PlateArmor_Armor
0x1119	Gloves	yes	yes	Arkhan_PlateArmor_Gloves
0xF9F	Chest	yes	yes	Arqus_Leather_Armor
0x1	Other	no	no	Arrow
0x1733	Other	no	no	Arrow_Flag_I
0x174C	Other	no	no	Arrow_Flag_II
0x1029	Chest	yes	yes	Arrow_Technique_Instructor_Leather_Armor
0x16FB	Other	no	no	Arsard_TwoHandedWarHammer
0x1089	Gloves	yes	yes	Arti_Leather_Gloves
0xCF8	Helm	yes	no	Artiree_Fabric_Helm
0xEC0	Chest	yes	yes	Artisan_Leather_Armor
0x1669	Other	no	no	Artisan_Thorn_OneHandTowerShield
0xCC5	Chest	yes	yes	Artnan_Fabric_Armor
0x1776	Other	no	no	Arven_Giant_TwoHandGiantBastard
0x1364	Chest	no	yes	Ashad_PlateArmor_Armor
0x135F	Boots	no	yes	Ashad_PlateArmor_Boots
0x1367	Cloak	no	yes	Ashad_PlateArmor_Cloak
0x136A	Gloves	no	yes	Ashad_PlateArmor_Gloves
0x136F	Helm	no	yes	Ashad_PlateArmor_Helm
0xCE6	Gloves	yes	yes	Ashiteu_Fabric_Gloves
0xC19	Chest	yes	yes	Aslan_ChainMail_Armor
0x39B	Other	no	no	Asparagus
0x1237	Helm	yes	yes	Aspherd_PlateArmor_Helm
0xCDF	Gloves	yes	yes	Astia_Fabric_Gloves
0x1250	Helm	yes	yes	Astin_PlateArmor_Helm
0xC68	Gloves	yes	yes	Astti_Fabric_Gloves
0x12C9	Boots	no	yes	Atanti_Leather_Boots
0xCF3	Helm	yes	yes	Ataram_Fabric_Helm
0x1059	Boots	yes	yes	Aurellian_Leather_Boots
0x1675	Other	no	yes	Aurellian_OneHandBow
0x15D0	Other	no	no	Aurio_OneHandDagger
0xD00	Chest	yes	yes	Auron_Fabric_Armor
0xE0F	Chest	yes	yes	Austia_Leather_Armor
0xD0B	Chest	yes	yes	Austphelt_Fabric_Armor
0xE58	Gloves	yes	yes	Austphelt_Leather_Gloves
0xC1C	Chest	yes	yes	Avignon_Fabric_Armor
0x1764	Other	no	no	Awaken_Caliburn_TwoHandSword
0x105E	Boots	yes	no	Badran_Leather_Boots
0x10AA	Gloves	yes	no	Badran_Leather_Gloves
0xDCE	Helm	yes	yes	Baidan_Fabric_Helm
0xC9C	Chest	yes	no	Bailao_Fabric_Armor
0x128F	Boots	no	yes	Bainian_Leather_Boots
0x14F8	Other	no	yes	Bainian_Leather_Boots_T5_QA
0x4F3	Other	no	no	Baked_Egg
0x4D1	Other	no	no	Baked_Egg_Large
0x4E5	Other	no	no	Baked_Egg_Medium
0x4B9	Other	no	no	Baked_Egg_XLarge
0xC9D	Chest	yes	no	Bakrao_Fabric_Armor
0xEFB	Boots	yes	no	Baku_Leather_Boots
